Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,"CA Inter, CA, MCOM, accountant cum internal auditor For Kenya Nairobi",KALP SHAH GST CLASSES,0-5 Yrs,"8,50,000 - 12,00,000 PA.",Kenya,"b' CA INTER, M.COM, B.COM OR CA WITH EXPERIENCE'","['Internal Audit', 'Accounting', 'Accounts Finalisation', 'Bank Reconciliation']",2021-03-26,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Team leader - Retailing and Incentives,NEXDIGM PRIVATE LIMITED,1-4 Yrs,Not disclosed,Pune,b' A flair for leading a team and bringing about the best in people (minimum 1 year prior ...',"['Operational Management', 'Accounting', 'Service Orientation', 'Team Leading', 'Analytics and Reasoning', 'Client Handling', 'Quantitative Techniques']",2021-03-26,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Chartered Accountants,Larsen & Toubro Limited,0-2 Yrs,Not disclosed,"Chennai, Mumbai (All Areas)",b' Experience : Freshers (expInternal Audit (15 days travelling is required )- For Mumbai ...',"['Internal Audit', 'first attempt', 'Internal Control', 'Finance', 'Financial Accounting', 'Ledger Scrutiny', 'Chartered Accountant', 'General Ledger']",2021-03-25,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Accounts Receivable/Payable Executive - With Good Communication Skill,Southern Cross Group India Pvt Ltd,0-2 Yrs,Not disclosed,Chennai,b' Roles and Responsibilities We are looking for candidates with Accounts background and e...',"['P', 'Accounting', 'Accounts Receivable']",2021-03-18,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Mega Virtual Drive For Accounts Payable on 26th March,GENPACT India Private Limited,0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,b' Freshers are eligible Graduate in Commerce (BCom) Minimum qualifications',"['Invoice Processing', 'Payables', 'Procure To Pay', 'Invoicing', 'Ap', 'P2P']",2021-03-24,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Sr. Executive/Asst. Manager - Finance & Accounts,Dr Lal PathLabs,0-3 Yrs,"5,50,000 - 6,50,000 PA.",Gurgaon/Gurugram,b' Candidate should have 0-3 years of experience Should have knowledge of IND-AS (Indian A...',"['Indian Accounting', 'Statutory Audit', 'Tax Audit', 'Internal Audit', 'Income Tax', 'Tax Returns', 'Finance', 'Taxation']",2021-03-18,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Walk-In -Accounts Process Executive For Tally (Hindi & English),Greet Technologies Pvt Ltd.,NA,"1,75,000 - 2,00,000 PA.",Bangalore/Bengaluru(HSR Layout),"b' Dear Candidate, We are looking to hire Graduates who can speak Hindi & English for Tall...'","['Communication Skills', 'Tally ERP', 'Accounting', 'GST', 'Voice Support']",2021-03-25,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Accounts Executive,Super India Tech Mark,0-2 Yrs,"1,50,000 - 2,50,000 PA.",Chennai(Soundara Pandianar Nagar),b' The candidate should be commerce graduate with minimum 3 years working experience of co...',"['Tally Software', 'Daily Accounting', 'TDS', 'Petty Cash', 'Advance Tax', 'Finance', 'Gst', 'Taxation']",2021-03-24,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,"Junior Accountant, Billing Executive, Admin incharge",Ashok Mineral Enterprises ,0-5 Yrs,"50,000 - 2,00,000 PA.",Chennai(Adyar +4),b' Tally knowledge required Excel working knowledge required',"['Housekeeping', 'Tally', 'Administration', 'Petty Cash', 'Accounting', 'Sales Entry', 'Purchase Entry', 'Sales Invoice']",2021-03-17,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,"Accounts & Finance Executive, Freshers",Creative Hands HR Consultancy,0-5 Yrs,"4,00,000 - 6,00,000 PA.","Mumbai, Indore, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","b' Roles and Responsibilities Hi, We are looking for Accounts executiveGood communication ...'","['ledger', 'bba', 'bcom', 'freshers', 'mcom', 'arts & science', 'gst', 'accounts']",2021-03-22,2021-03-29
Accounting Jobs,https://www.naukri.com/accounting-jobs?xt=catsrch&qf[]=1,Executive - Accounts,Gokaldas Exports Ltd,0-0 Yrs,Not disclosed,Bangalore/Bengaluru,b' Looking for CA/CMA freshers for multiple domain in Finance & Accounts.Interested candid...',"['Accounting', 'General Accounting', 'Treasury', 'finance', 'Accounts Payable']",2021-03-17,2021-03-29
